MATCHUP,GAME_ID,SEASON
01/09/2018 Magic at Mavericks,0021700601,2017-18
01/07/2018 Knicks at Mavericks,0021700587,2017-18
01/05/2018 Bulls at Mavericks,0021700572,2017-18
01/03/2018 Warriors at Mavericks,0021700562,2017-18
12/31/2017 Mavericks at Thunder,0021700541,2017-18
12/29/2017 Mavericks at Pelicans,0021700525,2017-18
12/27/2017 Mavericks at Pacers,0021700507,2017-18
12/26/2017 Raptors at Mavericks,0021700499,2017-18
12/23/2017 Mavericks at Hawks,0021700484,2017-18
12/22/2017 Mavericks at Heat,0021700474,2017-18
12/20/2017 Pistons at Mavericks,0021700461,2017-18
12/18/2017 Suns at Mavericks,0021700448,2017-18
12/16/2017 Mavericks at Spurs,0021700435,2017-18
12/14/2017 Mavericks at Warriors,0021700417,2017-18
12/12/2017 Spurs at Mavericks,0021700402,2017-18
12/10/2017 Mavericks at Timberwolves,0021700388,2017-18
12/08/2017 Mavericks at Bucks,0021700372,2017-18
12/06/2017 Mavericks at Celtics,0021700356,2017-18
12/04/2017 Nuggets at Mavericks,0021700347,2017-18
12/02/2017 Clippers at Mavericks,0021700327,2017-18
11/29/2017 Nets at Mavericks,0021700310,2017-18
11/27/2017 Mavericks at Spurs,0021700295,2017-18
11/25/2017 Thunder at Mavericks,0021700283,2017-18
11/22/2017 Mavericks at Grizzlies,0021700260,2017-18
11/20/2017 Celtics at Mavericks,0021700249,2017-18
11/18/2017 Bucks at Mavericks,0021700233,2017-18
11/17/2017 Timberwolves at Mavericks,0021700224,2017-18
11/14/2017 Spurs at Mavericks,0021700203,2017-18
11/12/2017 Mavericks at Thunder,0021700191,2017-18
11/11/2017 Cavaliers at Mavericks,0021700181,2017-18
11/07/2017 Mavericks at Wizards,0021700151,2017-18
11/04/2017 Mavericks at Timberwolves,0021700134,2017-18
11/03/2017 Pelicans at Mavericks,0021700125,2017-18
11/01/2017 Mavericks at Clippers,0021700116,2017-18
10/30/2017 Mavericks at Jazz,0021700098,2017-18
10/28/2017 76ers at Mavericks,0021700081,2017-18
10/26/2017 Mavericks at Grizzlies,0021700066,2017-18
10/25/2017 Grizzlies at Mavericks,0021700061,2017-18
10/23/2017 Warriors at Mavericks,0021700045,2017-18
10/21/2017 Mavericks at Rockets,0021700032,2017-18
10/20/2017 Kings at Mavericks,0021700024,2017-18
10/18/2017 Hawks at Mavericks,0021700009,2017-18
04/11/2018 Nuggets at Timberwolves,0021701225,2017-18
04/09/2018 Trail Blazers at Nuggets,0021701211,2017-18
04/07/2018 Nuggets at Clippers,0021701191,2017-18
